date,home_team,away_team,team,scorer,minute,own_goal,penalty
2015-01-09,Australia,Kuwait,Kuwait,Hussain Fadhel,8,False,False
2015-01-09,Australia,Kuwait,Australia,Tim Cahill,33,False,False
2015-01-09,Australia,Kuwait,Australia,Massimo Luongo,45,False,False
2015-01-09,Australia,Kuwait,Australia,Mile Jedinak,62,False,True
2015-01-09,Australia,Kuwait,Australia,James Troisi,90,False,False
2015-01-10,Saudi Arabia,China PR,China PR,Yu Hai,81,False,False
2015-01-10,South Korea,Oman,South Korea,Cho Young-cheol,45,False,False
2015-01-10,Uzbekistan,North Korea,Uzbekistan,Igor Sergeev,62,False,False
2015-01-11,Iran,Bahrain,Iran,Ehsan Hajsafi,45,False,False
2015-01-11,Iran,Bahrain,Iran,Masoud Shojaei,71,False,False
2015-01-11,United Arab Emirates,Qatar,Qatar,Khalfan Ibrahim,23,False,False
2015-01-11,United Arab Emirates,Qatar,United Arab Emirates,Ahmed Khalil,37,False,False
2015-01-11,United Arab Emirates,Qatar,United Arab Emirates,Ahmed Khalil,52,False,False
2015-01-11,United Arab Emirates,Qatar,United Arab Emirates,Ali Mabkhout,56,False,False
2015-01-11,United Arab Emirates,Qatar,United Arab Emirates,Ali Mabkhout,90,False,False
2015-01-12,Japan,Palestine,Japan,Yasuhito Endo,8,False,False
2015-01-12,Japan,Palestine,Japan,Shinji Okazaki,25,False,False
2015-01-12,Japan,Palestine,Japan,Keisuke Honda,43,False,True
2015-01-12,Japan,Palestine,Japan,Maya Yoshida,49,False,False
2015-01-12,Jordan,Iraq,Iraq,Yaser Kasim,77,False,False
2015-01-13,Australia,Oman,Australia,Matt McKay,27,False,False
2015-01-13,Australia,Oman,Australia,Robbie Kruse,30,False,False
2015-01-13,Australia,Oman,Australia,Mark Milligan,45,False,True
2015-01-13,Australia,Oman,Australia,Tomi Juric,70,False,False
2015-01-13,Kuwait,South Korea,South Korea,Nam Tae-hee,36,False,False
2015-01-14,China PR,Uzbekistan,Uzbekistan,Odil Ahmedov,23,False,False
2015-01-14,China PR,Uzbekistan,China PR,Wu Xi,54,False,False
2015-01-14,China PR,Uzbekistan,China PR,Sun Ke,68,False,False
2015-01-14,North Korea,Saudi Arabia,North Korea,Ryang Yong-gi,12,False,False
2015-01-14,North Korea,Saudi Arabia,Saudi Arabia,Naif Hazazi,37,False,False
2015-01-14,North Korea,Saudi Arabia,Saudi Arabia,Mohammad Al-Sahlawi,52,False,False
2015-01-14,North Korea,Saudi Arabia,Saudi Arabia,Mohammad Al-Sahlawi,54,False,False
2015-01-14,North Korea,Saudi Arabia,Saudi Arabia,Nawaf Al-Abed,76,False,False
2015-01-15,Bahrain,United Arab Emirates,United Arab Emirates,Ali Mabkhout,1,False,False
2015-01-15,Bahrain,United Arab Emirates,Bahrain,Jaycee John Okwunwanne,26,False,False
2015-01-15,Bahrain,United Arab Emirates,United Arab Emirates,Mohamed Husain,74,True,False
2015-01-15,Qatar,Iran,Iran,Sardar Azmoun,52,False,False
2015-01-16,Iraq,Japan,Japan,Keisuke Honda,23,False,True
2015-01-16,Palestine,Jordan,Jordan,Yousef Al-Rawashdeh,32,False,False
2015-01-16,Palestine,Jordan,Jordan,Hamza Al-Dardour,34,False,False
2015-01-16,Palestine,Jordan,Jordan,Hamza Al-Dardour,45,False,False
2015-01-16,Palestine,Jordan,Jordan,Hamza Al-Dardour,75,False,False
2015-01-16,Palestine,Jordan,Jordan,Hamza Al-Dardour,79,False,False
2015-01-16,Palestine,Jordan,Palestine,Jaka Ihbeisheh,84,False,False
2015-01-17,Australia,South Korea,South Korea,Lee Jung-hyup,33,False,False
2015-01-17,Burkina Faso,Gabon,Gabon,Pierre-Emerick Aubameyang,19,False,False
2015-01-17,Burkina Faso,Gabon,Gabon,Malick Evouna,72,False,False
2015-01-17,Equatorial Guinea,Congo,Equatorial Guinea,Emilio Nsue,16,False,False
2015-01-17,Equatorial Guinea,Congo,Congo,Thievy Bifouma,87,False,False
2015-01-17,Oman,Kuwait,Oman,Abdul Aziz Al-Muqbali,69,False,False
2015-01-18,China PR,North Korea,China PR,Sun Ke,1,False,False
2015-01-18,China PR,North Korea,China PR,Sun Ke,42,False,False
2015-01-18,China PR,North Korea,North Korea,Gao Lin,57,True,False
2015-01-18,Tunisia,Cape Verde,Tunisia,Mohamed Ali Manser,70,False,False
2015-01-18,Tunisia,Cape Verde,Cape Verde,Héldon Ramos,78,False,True
2015-01-18,Uzbekistan,Saudi Arabia,Uzbekistan,Sardor Rashidov,2,False,False
2015-01-18,Uzbekistan,Saudi Arabia,Saudi Arabia,Mohammad Al-Sahlawi,60,False,True
2015-01-18,Uzbekistan,Saudi Arabia,Uzbekistan,Vokhid Shodiev,71,False,False
2015-01-18,Uzbekistan,Saudi Arabia,Uzbekistan,Sardor Rashidov,78,False,False
2015-01-18,Zambia,DR Congo,Zambia,Given Singuluma,2,False,False
2015-01-18,Zambia,DR Congo,DR Congo,Yannick Bolasie,66,False,False
2015-01-19,Algeria,South Africa,South Africa,Thuso Phala,51,False,False
2015-01-19,Algeria,South Africa,Algeria,Thulani Hlatshwayo,67,True,False
2015-01-19,Algeria,South Africa,Algeria,Faouzi Ghoulam,72,False,False
2015-01-19,Algeria,South Africa,Algeria,Islam Slimani,83,False,False
2015-01-19,Ghana,Senegal,Ghana,André Ayew,14,False,True
2015-01-19,Ghana,Senegal,Senegal,Mame Biram Diouf,58,False,False
2015-01-19,Ghana,Senegal,Senegal,Moussa Sow,90,False,False
2015-01-19,Iran,United Arab Emirates,Iran,Reza Ghoochannejhad,90,False,False
2015-01-19,Qatar,Bahrain,Bahrain,Sayed Dhiya Saeed,34,False,False
2015-01-19,Qatar,Bahrain,Qatar,Hassan Al-Haydos,68,False,False
2015-01-19,Qatar,Bahrain,Bahrain,Sayed Jaafar Ahmed,82,False,False
2015-01-20,Iraq,Palestine,Iraq,Younis Mahmoud,48,False,False
2015-01-20,Iraq,Palestine,Iraq,Ahmed Yasin Ghani,88,False,False
2015-01-20,Ivory Coast,Guinea,Guinea,Mohamed Yattara,36,False,False
2015-01-20,Ivory Coast,Guinea,Ivory Coast,Seydou Doumbia,72,False,False
2015-01-20,Japan,Jordan,Japan,Keisuke Honda,24,False,False
2015-01-20,Japan,Jordan,Japan,Shinji Kagawa,82,False,False
2015-01-20,Mali,Cameroon,Mali,Sambou Yatabaré,71,False,False
2015-01-20,Mali,Cameroon,Cameroon,Ambroise Oyongo,84,False,False
2015-01-21,Gabon,Congo,Congo,Prince Oniangué,48,False,False
2015-01-22,Australia,China PR,Australia,Tim Cahill,48,False,False
2015-01-22,Australia,China PR,Australia,Tim Cahill,65,False,False
2015-01-22,South Korea,Uzbekistan,South Korea,Son Heung-min,104,False,False
2015-01-22,South Korea,Uzbekistan,South Korea,Son Heung-min,119,False,False
2015-01-22,Zambia,Tunisia,Zambia,Emmanuel Mayuka,60,False,False
2015-01-22,Zambia,Tunisia,Tunisia,Ahmed Akaïchi,70,False,False
2015-01-22,Zambia,Tunisia,Tunisia,Yassine Chikhaoui,89,False,False
